"","Artist","Followers","Popularity","num_songs","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","id"
"636","Wale",2929214,77,1,"dance pop","gangster rap","hip hop","pop","pop rap","r&b","rap","southern hip hop","trap","urban contemporary","67nwj3Y5sZQLl72VNUHEYE"
"637","WEDNESDAY CAMPANELLA",131228,45,1,"j-dance","japanese electropop",NA,NA,NA,NA,NA,NA,NA,NA,"0bp9CvkjQYhUJvWRHjFRWI"
"638","White Gold",1821,67,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79KQgTCu4wV38ECYKn62DZ"
"639","WJSN",405826,55,1,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"6hhqsQZhtp9hfaZhSd0VSD"
"640","Wonder Girls",382936,54,1,"k-pop","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,"3Cv2vi3WTl8VZOTdrBkKdM"
"641","Woo",59465,55,1,"k-indie","k-rap","korean pop",NA,NA,NA,NA,NA,NA,NA,"5a8EJtOEbUJDF4RX3mKK02"
"642","Wyclef Jean",233242,72,1,"rap kreyol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7aBzpmFXB4WWpPl2F7RjBe"
"643","XXXTENTACION",24664085,93,1,"emo rap","miami hip hop",NA,NA,NA,NA,NA,NA,NA,NA,"15UsOTVnJzReFVN1VCnxy4"
"644","Yaffle",3357,30,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2BbGifSrMGEgvUXLypUWzV"
"645","YANGHONGWON",29165,46,1,"k-rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1SsVqqC31h54Hg08g7uQhM"
"646","Yo Gotti",3152457,76,1,"dirty south rap","gangster rap","hip hop","memphis hip hop","pop rap","rap","southern hip hop","tennessee hip hop","trap",NA,"6Ha4aES39QiVjR0L2lwuwq"
"647","Yoko Oginome",47128,44,1,"classic city pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6yqXW1ZKNeDm04DguLHoJk"
"648","YonYon",16692,48,1,"japanese chill rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"31cQ1UZ89lT9gFf6bvADZl"
"649","Young Thug",5853716,91,1,"atl hip hop","atl trap","gangster rap","hip hop","melodic rap","pop rap","rap","trap",NA,NA,"50co4Is1HCEo8bhOyUWKpn"
"650","Young Zee",4543,42,1,"new jersey rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4OqgHlGnIFHukth5CY1Ejj"
"651","Yubin",122872,43,1,"k-pop","korean city pop",NA,NA,NA,NA,NA,NA,NA,NA,"3JUj7c2h5xkdOf0GJ07VWE"
"652","Yufu Terashima",2006,17,1,"alt-idol",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1EprrjlHDT5PD1w2NrHDPJ"
"653","Yugen Blakrok",11046,48,1,"south african hip hop","spiritual hip hop",NA,NA,NA,NA,NA,NA,NA,NA,"3kv1Edgn5HlEWCuEKr1Y9x"
"654","Yuko Ando",39118,57,1,"anime","j-rock","japanese singer-songwriter",NA,NA,NA,NA,NA,NA,NA,"12dhEcVUnJVnIQLt91VdA3"
"655","Yuksek",84753,53,1,"alternative dance","disco house","electro house","electrofox","electronica","filter house","french indie pop","french indietronica","new french touch","new rave","2ePIzx9NjxplS724QMZtsf"
